9057	LgnCoExp Bus 1
1791	West Douglas FPD
2208	Castle Pines ES1
4375	FremontCo MAC 1
4322	Beulah FD Disp
4292	Rye Fire Admin
4301	Red Creek FD Dis
4303	PuebloCo Admin 1
4304	PuebloCo Admin 2
4305	PuebloCo Admin 3
4306	TTC FD Disp
1000	Douglas Sch Bus6
4940	EPCO C2 Command
4941	EPCO C3 Ops
4942	EPCO C4 Command
4943	EPCO C5 Ops
4944	EPCO C8 Brown
4945	EPCO C6 Command
4946	EPCO C7 Ops
4947	EPCO C9 Orange
4620	CSFD 1 Disp
4621	CSFD 2 Alt Disp
4622	CSFD 3
4623	CSFD 4 Command
4624	CSFD 5 Tactical
4625	CSFD 6 Command
4626	CSFD 7 Tactial
4627	CSFD 8 Command
4628	CSFD 9 Tactical
4629	CSFD 10 Command
4630	CSFD 11 Tactical
4631	CSFD 12 Staging
4632	CSFD 13
4633	CSFD Admin
4634	CSFD Training
4770	EPCO FD Red
4771	EPCO FD Silver
4772	EPCO FD Yellow
4773	Peyton FD
4774	Calhan FD
4775	Tri-County FD
4776	Edison FD
4777	Hanover FD
4778	Falcon FD
4779	Ellicott FD
4780	Cimarron Hill FD
4781	Security FD
4782	Stratmoor Hil FD
4783	Highway 115 FD
4784	Wescott FD
4786	Woodmoor FD
4787	Tri-Lakes FD
4788	Black Forrest FD
4789	Broadmoor  FD
4790	Green Mtn Fls FD
4791	Cascade FD
4792	Palmer Lake FD
4710	EPSO 1 N Disp
4711	EPSO 2 Tac 1
4712	EPSO 3 S Disp
4716	EPSO 7
4717	EPSO 8
4727	EPSO Transport
4812	Fountain PD 1
4813	Fountain PD 2
4810	Fountain FD 10
4811	Fountain FD 2
4822	Fountain FD 5
4814	Fountain Admin
4815	Fountain Elect
4816	Fountain Parks
4817	Fountain Streets
4818	Fountain Water
4834	Manitou PD 1
4835	Manitou PD 2
4830	Manitou FD Admin
4831	Manitou FD 1
4832	Manitou FD 2
4833	Crystal Park FD
4836	Manitou Electric
4837	Manitou Parks
4838	Manitou Streets
4839	Manitou Water
4875	Monument Events
4895	EPCO AMR 1
4896	EPCO AMR 2
4930	Mem Hosp Sec 1
4931	Mem Hosp Sec 2
4932	Mem Hosp Shuttle
4933	Mem Hosp Mtce
4934	Mem Hosp CM02
4935	Mem Hosp 6
4948	Mem Hosp ER
4949	Penrose Hosp ER
4950	Penrose Hosp
4952	USAFA ER
4953	Mem Hosp North
4954	StFrancis Med ER
4956	UCH PPRH 4956
4524	CS Parks/Rec 1
4525	CS Parks/Rec 2
4526	CS Parks/Rec 3
4527	CS Parks/Rec 4
4528	CS Parks/Rec 5
4529	CS Parks/Rec 6
4530	CS Parks/Rec 7
4531	CS Parks/Rec 8
4532	CS Parks/Rec 9
4533	CS Parks/Rec 10
4514	CS City Services
4543	CS Radio Techs
4553	CS Metro Bus 1
4554	CS Metro Bus 2
4555	CS Metro Bus 3
4556	CS Metro Bus 4
4557	CS Metro Bus 5
4558	CS Metro Bus 6
4572	CSPD Acadmy
4650	CSU ITS
4654	CSU Field 1
4655	CSU Field 2
4759	CS Solid Waste 1
4760	CS Solid Waste 2
4540	CS PP 1
4541	CS PP 2
4545	CS Streets 1
4546	CS Streets 2
4547	CS Streets 3
4548	CS Streets 4
4549	CS Streets 5
4752	EPCO Parks 1
4753	EPCO Facility 1
4754	EPCO Facility 2
4732	EPSO SAR
